,Txn Hash,UnixTimestamp,Date Time (UTC),Action,Buyer,NFT,Token ID,Type,Quantity,Price,Market
0,0x6cf2f2175042fd530cf9451912bb64df541b0ff8f5f0626c91e313a05f2c8c96,1599330758,2020-09-05 18:32:38,Bid Won,0x08ceb8bba685ee708c9c4c65576837cbe19b9dea,Async Art,551,721,1,460 DAI ,OpenSea
1,0xe92ba6d31a12a0b82d461c7a290b427c264c0d141fa47bc1547db585c0cd36c2,1599332565,2020-09-05 19:02:45,Bid Won,0x9671a3fbbfb13d68e5770afed424f8915ea0ada3,Async Art,553,721,1,450 DAI ,OpenSea
2,0x787887283aac2117a1373c54ab737890726386b6026208bad1d9bd7ea8784b93,1606103493,2020-11-23 03:51:33,Bought,0x6e7cacc6f2b49dfb980663bf2bb014046ac45320,Async Art,549,721,1,"2,500 DAI ",OpenSea
3,0x0950f59d4e86d95d8d752f8c7e29667a16fad90cbe71f2062fa332563b599d29,1610268825,2021-01-10 08:53:45,Bought,0x6853a596d6d7264d3622546da3b891b6fe17eb82,Async Art,550,721,1,250 DAI ,OpenSea
4,0x8b4e64fa92a8e56d06e96a2ed5e1e2f4df384f4c72883eb1811f65380a5ab557,1610268938,2021-01-10 08:55:38,Bought,0x6853a596d6d7264d3622546da3b891b6fe17eb82,Async Art,552,721,1,250 DAI ,OpenSea
5,0xe96d047da01d72ebbcb2b3f542d75fc87314b7323cbfe77eb468be7f2c6e9d9b,1610268993,2021-01-10 08:56:33,Bought,0x6853a596d6d7264d3622546da3b891b6fe17eb82,Async Art,554,721,1,250 DAI ,OpenSea
6,0x7e52eb889f8387963b415a059935373d6ff151fe7248d142630e02e6dcd667e9,1611634845,2021-01-26 04:20:45,Bought,0x290fbe4d4745f6b5267c209c92c8d81cebb5e9f0,Async Art,303,721,1,"3.25 ETH ($4,446.72)",OpenSea
7,0x8b921c0107104965ebf73926b9900deb20bb21885e4068804028af4e27378f90,1613953947,2021-02-22 00:32:27,Bought,0xdae6ca75bb2afd213e5887513d8b1789122eaaea,Async Art,977,721,1,0.3 ETH ($533.42),OpenSea
8,0xe8fb3b6f5f257f854feacd20907661dd8d3c29f90f8e6d00c571b1f4b859cd35,1614663077,2021-03-02 05:31:17,Bought,0x47d5717f86c95a43a90c6eac3b91152bcc71315c,Async Art,565,721,1,0.3 ETH ($446.60),OpenSea
9,0x82782e56d789b04e5589aa904ef15dae5c106bb9abcdfed656194594039af109,1615667998,2021-03-13 20:39:58,Bid Won,0x1a5b3eb121846c9505e271067f6fef7fa7ebb5f1,Async Art,551,721,1,"0.75 WETH ($1,440.89)",OpenSea
10,0xf2d906aa72267c71af67f646aee4f73cb7caa3e890edb08a402868722862d88d,1616808813,2021-03-27 01:33:33,Bought,0x760aafc261881f1bb0587ef76f0db9c592f7337e,Async Art,425,721,1,"1.25 ETH ($2,142.43)",OpenSea
11,0x5c87527d85010f9f2d55ef720befccea89a9c8e2c3a4e1b563a6f5e7a1e4a0f3,1616816217,2021-03-27 03:36:57,Bought,0x46714a02b7cb0c13112b0c555b1e21d06579c92e,Async Art,1210,721,1,"1.5 ETH ($2,570.91)",OpenSea
12,0xe20677ced80a6a5f240a5cfc3735a26b78086dcadf3df5d1da76e4251b2a79a0,1617326919,2021-04-02 01:28:39,Bought,0x47d5717f86c95a43a90c6eac3b91152bcc71315c,Async Art,944,721,1,"2.15 ETH ($4,589.09)",OpenSea
13,0x123aeab94f5a174b2ebe4a4444603fc1efa6a1256987d544263d0d318976a699,1617961552,2021-04-09 09:45:52,Bought,0x855895aae08d1751c3f8a416230eb989099ff517,Async Art,875,721,1,0.01 ETH ($20.67),OpenSea
14,0xb17d7db4f3567e7cfa0a6a51e3a152b39a045d63d4c31fbe94d1f8892d89e0e2,1618004496,2021-04-09 21:41:36,Bought,0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,Async Art,696,721,1,0 ETH ,OpenSea
15,0x701e2ccfc37aeaa321b07c1c6c3d1de498cea81bb2c4185a8da77fbc09a1f8d2,1622327866,2021-05-29 22:37:46,Bid Won,0x4375e38ab575e63b5247b4330c4d9fe93172af2d,Async Art,1709,721,1,"1.05 WETH ($2,392.51)",OpenSea
16,0xa1658c838f3f687e10d1d1dd02634ffcbd03c29981131ecf46abe09258d444ed,1622328051,2021-05-29 22:40:51,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1708,721,1,"1.25 WETH ($2,848.23)",OpenSea
17,0xb702e217248111ff48eb949c74a6abe86547d0ed1dbcc4223ec7028f65a7b684,1622328691,2021-05-29 22:51:31,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1707,721,1,"1.25 WETH ($2,848.23)",OpenSea
18,0x8e13a0ebb2cdc2f9506b7fd17bbf4d9ae6649efe82a24e9dae6349b9c013f53a,1622331039,2021-05-29 23:30:39,Bid Won,0xab61903ee0a18780129c345a1264d78bb39a97cd,Async Art,1706,721,1,"2.5 WETH ($5,696.45)",OpenSea
19,0x9f5865bc4b46199e5fe93809732c316b21b0b613f5ec3ed1e3944e3dd7ec49e7,1622331143,2021-05-29 23:32:23,Bid Won,0xab61903ee0a18780129c345a1264d78bb39a97cd,Async Art,1705,721,1,"1.43 WETH ($3,258.37)",OpenSea
20,0x5f4d7a0bdfa541d026928bedc6fa5f7530bb7379084eb41973abb263213cd9b6,1622331174,2021-05-29 23:32:54,Bid Won,0xab61903ee0a18780129c345a1264d78bb39a97cd,Async Art,1704,721,1,"1.1 WETH ($2,506.44)",OpenSea
21,0x62a27a09e8ad044d45156a4a71d8a956d30f206e91184c3ee9880e3bec26fa71,1622331334,2021-05-29 23:35:34,Bid Won,0x98ed231428088eb440e8edb5cc8d66dcf913b86e,Async Art,1703,721,1,"1 WETH ($2,278.58)",OpenSea
22,0x5604475bf40a2781b6e5a2c847a4ecaf13ae0b2b90450394f3a1f96f562dcbbf,1622332256,2021-05-29 23:50:56,Bid Won,0x519064aadb6b2db7dd5476db42011e7a37772d6d,Async Art,1702,721,1,"1.39 WETH ($3,167.23)",OpenSea
23,0x4da7bd4716dd6b9edb642887600a2d769a6f3fe46eef6b297eda16417f65a838,1622332334,2021-05-29 23:52:14,Bid Won,0x98ed231428088eb440e8edb5cc8d66dcf913b86e,Async Art,1701,721,1,"1.5 WETH ($3,417.87)",OpenSea
24,0x1bd12d9e893333ac4c2f322d019cc283ddd22f9cbe83ae93407c47b70cd86053,1622332848,2021-05-30 00:00:48,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1700,721,1,"11 WETH ($26,256.01)",OpenSea
25,0x811d2310812ba844875805d0b606dab4ade8a1a96eeb027b4a6bd805738e78f5,1622421227,2021-05-31 00:33:47,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1719,721,1,"3 WETH ($8,122.14)",OpenSea
26,0xcdefe7b9a886124323a3bb7a079a348dced3febd822c0f043986ba5f64437b72,1622421505,2021-05-31 00:38:25,Bid Won,0x1a5b3eb121846c9505e271067f6fef7fa7ebb5f1,Async Art,1722,721,1,"0.5 WETH ($1,353.69)",OpenSea
27,0xb85fd46e9614d1c726db87b2cfb6d99047ecd46476cb0ad47d663eb55c6ec327,1622421546,2021-05-31 00:39:06,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1721,721,1,"0.5 WETH ($1,353.69)",OpenSea
28,0x4045107e26c95555dcf6db5029e19937943b58bd65182edb484b3d4e3041b786,1622421760,2021-05-31 00:42:40,Bid Won,0x762da606029d3120735aa1eec15464e265db7a3c,Async Art,1720,721,1,"0.5 WETH ($1,353.69)",OpenSea
29,0xa5c38a15fe6bc9c8f84fecc8a2363f03acb28f684f476eb5c2c28aba2938cbd7,1622658707,2021-06-02 18:31:47,Bid Won,0xb630abd9a5367763b7cba316e870c4a54064cc9f,Async Art,1710,721,1,"1 WETH ($2,706.52)",OpenSea
30,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1791,721,1,"1,111.111111 USDC ",OpenSea
31,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1792,721,1,"1,111.111111 USDC ",OpenSea
32,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1793,721,1,"1,111.111111 USDC ",OpenSea
33,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1794,721,1,"1,111.111111 USDC ",OpenSea
34,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1795,721,1,"1,111.111111 USDC ",OpenSea
35,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1796,721,1,"1,111.111111 USDC ",OpenSea
36,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1797,721,1,"1,111.111111 USDC ",OpenSea
37,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1798,721,1,"1,111.111111 USDC ",OpenSea
38,0x322861e16c34616638e012b61acf0e43e5ef902690e044a8f42d9556db6080ac,1624555369,2021-06-24 17:22:49,Bought,0x9af481276b075e036bc23e887a8bd275e69ef74c,Async Art,1799,721,1,"1,111.111111 USDC ",OpenSea
39,0xbb8e4152b43ffbeb62157402f05f6b435e383c928c6928e41ad67e47ef8502aa,1624926813,2021-06-29 00:33:33,Bid Won,0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,Async Art,749,721,1,0.25 WETH ($541.40),OpenSea
40,0x8c2408984010f2f9f9c24beb8555ef836a14e75508cd6185adcd4ecbccfe31b6,1627577674,2021-07-29 16:54:34,Bought,0x42a60d2f2ffa2150c568010a8d425f0aad284fd2,Async Art,2372,721,1,0.25 ETH ($595.81),OpenSea
41,0xaf2189867a0664a26a104daef820a5a755c7f194afc7033e660346c50f6fe18e,1628105860,2021-08-04 19:37:40,Bought,0x9b448c02ed787ed3ff6b345d9f0a74aefbe5906f,Async Art,2609,721,1,0.25 ETH ($681.43),OpenSea
42,0xea5da129a98b692f12286b600c7a99ac852bc9314b81cf238e64ddcda2baed0f,1629629380,2021-08-22 10:49:40,Bid Won,0x724b1f593df5fe585e55e5898833a5cc200ea9be,Async Art,2863,721,1,0.1 WETH ($324.17),OpenSea
43,0x3c5ed728997ee786f585eb0b7bd4a4064c6c65fa7c33fa861f79cadd0331067f,1629827263,2021-08-24 17:47:43,Bought,0x4d33d84f667f22644b09f501f09ccbd3e876c68e,Async Art,2923,721,1,0.2 ETH ($634.51),OpenSea
44,0xf1b4f8fb40a359aa01fe9dc3b59e143ea050f0ae94b141b73094b6b4e26e4260,1629829734,2021-08-24 18:28:54,Bid Won,0x93bac2d497e3479f0e975ead408ef15beb151232,Async Art,2701,721,1,0.2 WETH ($634.51),OpenSea
45,0x426e9e79a066ba5543dddf800057489baf702593ce75ad24f22ef3bdf4621819,1629892919,2021-08-25 12:01:59,Bought,0x75331ebbe0b00b97cab532384f13c9b479f074ec,Async Art,2411,721,1,"1.618 ETH ($5,224.30)",OpenSea
46,0x1184d90539a3fa5c4730e3454a7b16b2189afe2bfc1f7397b011792487b23389,1629930773,2021-08-25 22:32:53,Bought,0x19acbe9603c385fa2395127af4129d499787415f,Async Art,413,721,1,"2.5 ETH ($8,072.15)",OpenSea
47,0x04afa8b6e1aeb91194ed4dae1f530e476cebce310f5010584ca3f2d593ce5b2d,1629934182,2021-08-25 23:29:42,Bid Won,0xa70276b553fc7851b9cd57aeaaa0308462c55419,Async Art,2932,721,1,0.15 WETH ($484.33),OpenSea
48,0xd02573b25c539c75df841002f97fe36a0d1db755386e0311ca9410b33fa8c916,1629973641,2021-08-26 10:27:21,Bought,0xcb70265a64393687ed45b895d07949d843d786e0,Async Art,2778,721,1,0.15 ETH ($464.04),OpenSea
49,0x6fb1aba924fc1fec41a1d7766c02f8565f866671c07c26a9271739e3d2db4227,1629987311,2021-08-26 14:15:11,Bought,0x1a86c1b2727cb9f5f077b47314312bb036f1a0cb,Async Art,2579,721,1,0.15 ETH ($464.04),OpenSea
50,0xd8bb47512152d74beb7a0a425e4174cde3cc054a7367788c310d6cc01e8868e9,1629992427,2021-08-26 15:40:27,Bought,0x62e5f581db2d03928e5f318ec332368bf1bc7567,Async Art,1032,721,1,0.19 ETH ($587.79),OpenSea
51,0x47f93fcfa6cc2201283acaea713afff5344c8e0c699cd959fa05f1bac3936798,1630037969,2021-08-27 04:19:29,Bought,0x4df9693b9822709016d9c79c7d80de801a7adc34,Async Art,2358,721,1,0.1 ETH ($327.59),OpenSea
52,0xa8e8a5da263b228aaed03e57678b124c46f231b39f01ef79a1d21bde419f7993,1630038042,2021-08-27 04:20:42,Bought,0x4df9693b9822709016d9c79c7d80de801a7adc34,Async Art,2595,721,1,0.15 ETH ($491.38),OpenSea
53,0xf4940b472411fe051127f434e814d39aa303ee0ad9165d9fc1cd185c39bc1436,1630039579,2021-08-27 04:46:19,Bought,0x96236adb640ec620a85898378375cedf03ca21ff,Async Art,1374,721,1,"0.5 ETH ($1,637.94)",OpenSea
54,0xb590585e0536aa0c110579564de260bc059d0d298c8922ef068fe4e3f934f9b0,1630041857,2021-08-27 05:24:17,Bought,0x3f219541471d0ef0eb2ebc5c100341d6ac9d903c,Async Art,2335,721,1,0.19 ETH ($622.42),OpenSea
55,0x56b6869ae8b8349f0aabbaaffdc27ac02b8461c502fd805c7978b861905332bf,1630145746,2021-08-28 10:15:46,Bid Won,0xccd44e68ca6836ca296d6052cde58913fd2bbd8c,Async Art,2864,721,1,0.1 WETH ($324.68),OpenSea
56,0x63f663470eeac6074cf26dfdce1c99ed3434a121254600347a3456892848ee64,1630166425,2021-08-28 16:00:25,Bought,0x704b9aef9db248b9edd729245466b614c2a90750,Async Art,2358,721,1,0.15 ETH ($487.02),OpenSea
57,0x866f1c4c929dc3df42622df758dccea611cd90d81d315ead13276fb9d72ad68c,1630167095,2021-08-28 16:11:35,Bought,0x87cb6469b8d4de67220d306529bedff53a319264,Async Art,2595,721,1,0.25 ETH ($811.70),OpenSea
58,0x28750e2cb27619a61365077b830610c417261a2ef4ad690c42404642388f1275,1630173836,2021-08-28 18:03:56,Bought,0x3d0de4563043228eee85ae44fd948963288f8c5d,Async Art,2787,721,1,0.2 ETH ($649.36),OpenSea
59,0x74a7e80da3210c7a7ce76f55728bd4805e05e177c9cf30f6897d54519e40dcd5,1630211282,2021-08-29 04:28:02,Bought,0xe55e49259acf0ce584199ae1be67e0e4a5f2b889,Async Art,2787,721,1,"0.39 ETH ($1,257.87)",OpenSea
60,0xb32064e4c8f36ca5d67d4afb84e1a6ca8c8de9a4f8adcc7243d08585f2cc3869,1630354195,2021-08-30 20:09:55,Bought,0x6b67623ff56c10d9dcfc2152425f90285fc74ddd,Async Art,447,721,1,"33 ETH ($106,539.18)",OpenSea
61,0x90774d79d74382e67b6acc84a7804218770905f623183ea3b1d55704c4ac14c7,1630377310,2021-08-31 02:35:10,Bought,0xf5e352b0b467fb99d465b0955b89167f4df14e1f,Async Art,3094,721,1,"1.2 ETH ($4,122.20)",OpenSea
62,0x0dd0916552eafd800777300bc5612a88d7c058e60a65c79aa4972195a9d0e4c7,1630434500,2021-08-31 18:28:20,Bought,0xdeaac96b3f3c73463034b7747eb568aebb630c79,Async Art,3219,721,1,0.2 ETH ($687.03),OpenSea
63,0xd85c486acbaea2372b26b3abe6d6657af5114cc09069a94c71422e835e1723dd,1630484118,2021-09-01 08:15:18,Bought,0x38a161d47f01b375f505fcb13e73a315819c7eb3,Async Art,430,721,1,"2.5 ETH ($9,572.95)",OpenSea
64,0x66b65996cb3d6d9cb78a8b07c1c6d65689c3fa021337c7b7f5dfa75221aa265e,1630579003,2021-09-02 10:36:43,Bought,0xae48f64abeaa92618b8180c0fd33caebfed42f2b,Async Art,413,721,1,"2.5 ETH ($9,469.25)",OpenSea
65,0x450c4dff0c81093f0ef4ddb13ee32fe90995c562dde57f12c5e05a4c23cce4e0,1630648683,2021-09-03 05:58:03,Bid Won,0x0f6613d343a87da4513eb4cf6a873f0203c5c67c,Async Art,3154,721,1,0.1 WETH ($393.98),OpenSea
66,0x0966e18a10d86f6d0bf24de2506b873a0958cdfce0cc316cca8b1eea1f3863eb,1630741669,2021-09-04 07:47:49,Bought,0x16dfd5a87f44c91a3d2e800f05a774c6b3a6c418,Async Art,3290,721,1,0.15 ETH ($583.05),OpenSea
67,0x91c64807ceb9e42dcf25b0517da6ee7767f78ae01e8362b59c9d56b3d6b09867,1630799770,2021-09-04 23:56:10,Bought,0x9293c35d6e1524609b7221a1c9a8d52dc81ba62c,Async Art,469,721,1,"38 ETH ($147,706.38)",OpenSea
68,0x624e12dc5a5bbf5991b43d797c9cee1ecb08ea9498efd2e4dc7e3e9459e75d3d,1630799839,2021-09-04 23:57:19,Bought,0x9293c35d6e1524609b7221a1c9a8d52dc81ba62c,Async Art,448,721,1,"50 ETH ($194,350.50)",OpenSea
69,0x6eedc74a42f906366c011845c307d0ff374a56fc4fcc8451bf11d277fbce9fdf,1630801396,2021-09-05 00:23:16,Bought,0x7eabfe610657218bb4fd5620ed699b14de305412,Async Art,419,721,1,"2.8 ETH ($11,066.52)",OpenSea
70,0x69e395c6f890e956356c2bef80aa291e65001e3bc543ef82532641b6a945cdb8,1630808235,2021-09-05 02:17:15,Bought,0xf9760c0bfd1ff6f788235e8943aa840b7db31f88,Async Art,2579,721,1,0.2 ETH ($790.47),OpenSea
71,0xd30e67ee8d054ed8bf75c6c049d9c1e9f795d4683a068db00d058f1ae5a6959b,1630809342,2021-09-05 02:35:42,Bought,0x651aa79fce21d4b2665f539796de433a96222833,Async Art,3309,721,1,0.2 ETH ($790.47),OpenSea
72,0x67d7f106b91c2abdd9ef2082eb002d9c5dfd1dfd2be52f21e680e1d76f1dcaaa,1630810296,2021-09-05 02:51:36,Bought,0x4252eba22f51fa914d3d3593700ba023716ff223,Async Art,508,721,1,0.2 ETH ($790.47),OpenSea
73,0x950e56d90524d2e42a29cfa3c3c07bfef3af3134c46cc5fbe47cdcbae4734f81,1630817040,2021-09-05 04:44:00,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,2208,721,1,0.106 WETH ($418.95),OpenSea
74,0x15a190925479cb13d0e61791020101649c0b3f881b8b8db20866ce3d03426e64,1630817228,2021-09-05 04:47:08,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,2266,721,1,0.106 WETH ($418.95),OpenSea
75,0xb034482616b860c4231aad64b3b97f9d8601ee44897b04ad825d4bfb8f11b0e5,1630820638,2021-09-05 05:43:58,Bought,0x4c981c102137db47a62b260164cd7540828181fd,Async Art,2264,721,1,0.1 ETH ($395.23),OpenSea
76,0x836d642cffaab6866d9c95690acd7fb39a34055aa59a324f55eb2dac46bcd28e,1630820758,2021-09-05 05:45:58,Bought,0xf8341e58cf60a892ab6029b0db6e0761aa3ae840,Async Art,2265,721,1,0.105 ETH ($414.99),OpenSea
77,0x59dd2b129db1ec4c77aaa2a7fcc4e9c91bb38411d76035fda8232bceeb194d4d,1630822791,2021-09-05 06:19:51,Bought,0x58e5981593a25ea79823aaeec437cb09c7438f0a,Async Art,2115,721,1,0.104 ETH ($411.04),OpenSea
78,0x3a68fe8bb97ff8ec63c365fe249af6ef5eb01568d367afcbc58c6391df6332ea,1630823185,2021-09-05 06:26:25,Bought,0x58e5981593a25ea79823aaeec437cb09c7438f0a,Async Art,2266,721,1,0.18 ETH ($711.42),OpenSea
79,0xbe12264c0b7ca77171213c3d8dbbdb0154f26827bc26ac6867f769554e9b15b8,1630824039,2021-09-05 06:40:39,Bought,0x651a0b4a8904575e4ec56a7b53c89ea6226dfa99,Async Art,2086,721,1,0.2 ETH ($790.47),OpenSea
80,0x7445272962824717ab621c31fdeacf285c87d9805246663fbd1d9aaa175ebbe8,1630828152,2021-09-05 07:49:12,Bought,0x018593a5f56066deebbe58d886b9910c15923d92,Async Art,2208,721,1,0.19 ETH ($750.94),OpenSea
81,0xa45994d63734d3ec1a60c99d122e191eebac4d0e303d07cd6de36404124e6f5a,1630828451,2021-09-05 07:54:11,Bought,0x2378d2cb86db464bdaa7f481ade37b191df2a3ff,Async Art,2086,721,1,"0.435 ETH ($1,719.26)",OpenSea
82,0x3ec4622e744db75c689ba05bffba84b3d6e68d89e2c5d2ea7d7858e5e35a3069,1630847481,2021-09-05 13:11:21,Bought,0x5cb0bb0647a9f8583c41950ac4f4b74bcc6d04e5,Async Art,1359,721,1,0.25 ETH ($988.08),OpenSea
83,0xe0d0dd9ed51109de006262f0e9d05649980fcffa83ab91fb9c15030513f451f5,1630858613,2021-09-05 16:16:53,Bought,0xd90955b902b610711001d136bd449d19df9cdd22,Async Art,1360,721,1,0.25 ETH ($988.08),OpenSea
84,0x3d516d9119562e697884d780a155a01078316b89f618a29775c28181fbcd4aa1,1630859614,2021-09-05 16:33:34,Bought,0xc228593b047c1fe01f2df5eb31478235b552c121,Async Art,1815,721,1,"0.3 ETH ($1,185.70)",OpenSea
85,0x6fe1175494bc58d13a7e41769803c820f8c2087c1977c6d14f82ae3482d9781c,1630861129,2021-09-05 16:58:49,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,2373,721,1,0.138 WETH ($545.42),OpenSea
86,0x25a56949172bdd7835ccad2578dd52313037e414640a4485373591a5d1b61108,1630864382,2021-09-05 17:53:02,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,1741,721,1,0.138 WETH ($545.42),OpenSea
87,0x9c2a048b479a3945ef89c855dc2772b25349629c4e59cc6cb8e144270ab52bc6,1630864605,2021-09-05 17:56:45,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,1742,721,1,0.138 WETH ($545.42),OpenSea
88,0x640c62c1b5f162952d598d004117ad18b4c706c39ae2fdaab0de0293ad6a73d6,1630865208,2021-09-05 18:06:48,Bought,0xdb86848c3e7fa88dd274ad28b826a8ba963af24c,Async Art,2036,721,1,0.15 ETH ($592.85),OpenSea
89,0x33691e164a8b94acec31fb979ec59ef9df5e9d88d60a966a3e30eb9e243b3917,1630865260,2021-09-05 18:07:40,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,2794,721,1,0.138 WETH ($545.42),OpenSea
90,0xf998266a6fa433220cc20967223ecdfab62140113a7d46f2f32b82d4f77bcc73,1630865351,2021-09-05 18:09:11,Bought,0x640a3201ea8c6a0ff0319fd487eb4ec057a84fef,Async Art,1994,721,1,0.139 ETH ($549.37),OpenSea
91,0x80a8903a8b5f69aef5274caf0d93c070cf3e107e30217c4b1b75fcbd6fb685a6,1630865795,2021-09-05 18:16:35,Bought,0x640a3201ea8c6a0ff0319fd487eb4ec057a84fef,Async Art,2074,721,1,0.159 ETH ($628.42),OpenSea
92,0x37d11e1ef50e93573ce47e39774a5f862c4ecd475ece3d30395eee17416116fe,1630866066,2021-09-05 18:21:06,Bid Won,0x035765fee26772b76cb03f5a7c198b3ccb97a5b5,Async Art,2396,721,1,0.138 WETH ($545.42),OpenSea
93,0x3fa859f712454a8427843595e975b6eb0364a5822c991cf0c0e0d46e89b157db,1630884659,2021-09-05 23:30:59,Bought,0xef3ebf106f21b406d80154c1cf2b05214853e9d2,Async Art,2402,721,1,0.12 ETH ($474.28),OpenSea
94,0xd12eef5e5ebaffab78a731ac4066256d184214c869486d098a4904912e6a471d,1630909282,2021-09-06 06:21:22,Bought,0x2378d2cb86db464bdaa7f481ade37b191df2a3ff,Async Art,2373,721,1,0.14 ETH ($549.98),OpenSea
95,0xd1965b344e360790d63c0f47902653ea3c6196a114bc5d6e695a055e79aec201,1630909536,2021-09-06 06:25:36,Bought,0x2378d2cb86db464bdaa7f481ade37b191df2a3ff,Async Art,2208,721,1,"0.333 ETH ($1,308.16)",OpenSea
96,0xb78c881a84480d8d56a36e8394ac717c51f69696f21aa39575dfbdf8bd21e86b,1630919176,2021-09-06 09:06:16,Bought,0xe22059d454c705f70ffe2a5706844a3a27a2bec8,Async Art,2794,721,1,0.11 ETH ($432.12),OpenSea
97,0xe6732345a50d200c1ba8b39aa24a42376f1ec536cea74207b51582adc281fc4a,1630919716,2021-09-06 09:15:16,Bought,0xe22059d454c705f70ffe2a5706844a3a27a2bec8,Async Art,2960,721,1,0.15 ETH ($589.26),OpenSea
98,0xe898c70c67b27433b88c3027e1fd4c55ce1324b444b1a2326585b6f01d2212c6,1631004932,2021-09-07 08:55:32,Bought,0xdfc7192920825d2aa569a6ec65b58fc159c98c6b,Async Art,1994,721,1,0.07 ETH ($240.34),OpenSea
